Question,Answer,Category
"What are the courses offered?","We offer B.Tech (CSE / ECE / ME / CE / EE), MBA, MCA and M.Tech programs. Each program is affiliated to the state university and AICTE approved.","Courses"
"What is the fee structure?","The annual fee is approximately ₹1,00,000 for B.Tech and ₹80,000 for MBA. Hostel and mess charges are extra — around ₹60,000 per year.","Fees"
"What are the placement details?","We have a 90%+ placement rate. Top recruiters include TCS, Infosys, Wipro, Amazon, Capgemini and many more. Average package is ₹4.5 LPA and highest is ₹18 LPA.","Placements"
"What is the admission process?","Admissions are based on JEE Main / State CET scores for B.Tech. For MBA, CAT/MAT scores are considered. Apply online via our official portal.","Admissions"
"What are the college timings?","College hours are 9:00 AM to 5:00 PM from Monday to Saturday. Library remains open until 8:00 PM on weekdays.","Timings"
"Is hostel facility available?","Yes, separate hostel facilities are available for boys and girls. Hostels are equipped with Wi-Fi, mess, gym, and 24×7 security.","Hostel"
"What sports facilities are available?","We have a cricket ground, football field, basketball court, badminton courts, table tennis room, and an indoor gymnasium.","Sports"
"What is the contact number?","You can reach us at +91-98765-43210 or email admissions@college.edu. Our office is open on all working days from 9 AM to 5 PM.","Contact"
"What scholarships are available?","Merit scholarships up to 50% fee waiver are offered based on entrance rank. SC/ST/OBC students get government scholarships as per norms.","Scholarships"
"What are the library facilities?","The library has over 50,000 books, 200+ journals, e-library access via NPTEL and IEEE digital library. It is open from 8 AM to 8 PM.","Library"
"How is the internet and Wi-Fi connectivity?","The entire campus is covered with high-speed Wi-Fi (100 Mbps). Hostels also have dedicated broadband connections for students.","WiFi"
"Are there any clubs or extracurricular activities?","Yes! We have coding clubs, robotics club, cultural committee, NSS, NCC, debate club, music and dance societies and annual tech fest.","Clubs"
"What is the student to faculty ratio?","We maintain a 15:1 student-to-faculty ratio. Most faculty members hold PhDs from reputed universities.","Faculty"
"How many labs does the college have?","We have 30+ well-equipped labs including computer labs, electronics labs, chemistry labs, physics labs and project labs.","Labs"
"What is the location of the college?","The college is located in the heart of the city, 5 km from the main bus stand and 10 km from the railway station. It is well-connected by public transport.","Location"
"Is there a canteen on campus?","Yes, we have a spacious canteen that serves hygienic food at affordable rates from 7:30 AM to 7:30 PM daily.","Canteen"
"What is the college ranking?","Our college is ranked among the top 50 engineering colleges in the state and holds an NAAC A grade accreditation.","Ranking"
"Can I get an education loan?","Yes, our admission office assists students in obtaining education loans from nationalized banks like SBI, Bank of Baroda, and Canara Bank.","Loan"
"What are the rules for attendance?","A minimum of 75% attendance is mandatory for appearing in semester exams. Shortage of attendance may result in exam detainment.","Attendance"
"What is the examination system?","The college follows a semester system with two mid-term exams and one end-semester exam per subject. Internal marks carry 30% weightage.","Exams"p
